Roll,Name,MotherName,FatherName,SchoolName,SubjectCode,SubjectName,Theory,Practical,Total,Grade,Result
99999002,ADITYA PATEL,MEENA PATEL,ARVIND PATEL,DUMMY DEMO HIGH SCHOOL,502,HEALTH & PHYSICAL EDUCATION,,,---,A1,PASS
99999002,ADITYA PATEL,MEENA PATEL,ARVIND PATEL,DUMMY DEMO HIGH SCHOOL,503,GENERAL STUDIES,,,---,A1,PASS
99999003,DIYA IYER,LATHA IYER,RAMAN IYER,DUMMY DEMO HIGH SCHOOL,301,ENGLISH CORE,052,020,072,C1,PASS
99999003,DIYA IYER,LATHA IYER,RAMAN IYER,DUMMY DEMO HIGH SCHOOL,041,MATHEMATICS,028,020,048,D2,PASS
99999003,DIYA IYER,LATHA IYER,RAMAN IYER,DUMMY DEMO HIGH SCHOOL,042,PHYSICS,025,027,052,D1,PASS
99999003,DIYA IYER,LATHA IYER,RAMAN IYER,DUMMY DEMO HIGH SCHOOL,043,CHEMISTRY,023,028,051,D1,PASS
99999003,DIYA IYER,LATHA IYER,RAMAN IYER,DUMMY DEMO HIGH SCHOOL,044,BIOLOGY,035,029,064,C2,PASS
99999003,DIYA IYER,LATHA IYER,RAMAN IYER,DUMMY DEMO HIGH SCHOOL,500,WORK EXPERIENCE,,,---,A1,PASS
99999003,DIYA IYER,LATHA IYER,RAMAN IYER,DUMMY DEMO HIGH SCHOOL,502,HEALTH & PHYSICAL EDUCATION,,,---,A1,PASS
99999003,DIYA IYER,LATHA IYER,RAMAN IYER,DUMMY DEMO HIGH SCHOOL,503,GENERAL STUDIES,,,---,A1,PASS
99999004,ISHAAN VERMA,SARITA VERMA,ANIL VERMA,DUMMY DEMO HIGH SCHOOL,301,ENGLISH CORE,050,020,070,C2,COMP
99999004,ISHAAN VERMA,SARITA VERMA,ANIL VERMA,DUMMY DEMO HIGH SCHOOL,041,MATHEMATICS,032,020,052,D1,COMP
99999004,ISHAAN VERMA,SARITA VERMA,ANIL VERMA,DUMMY DEMO HIGH SCHOOL,042,PHYSICS,010,028,038    RT,E,COMP
99999004,ISHAAN VERMA,SARITA VERMA,ANIL VERMA,DUMMY DEMO HIGH SCHOOL,043,CHEMISTRY,025,028,053,D1,COMP
99999004,ISHAAN VERMA,SARITA VERMA,ANIL VERMA,DUMMY DEMO HIGH SCHOOL,083,COMPUTER SCIENCE,040,028,068,C2,COMP
99999004,ISHAAN VERMA,SARITA VERMA,ANIL VERMA,DUMMY DEMO HIGH SCHOOL,500,WORK EXPERIENCE,,,---,A1,COMP
99999004,ISHAAN VERMA,SARITA VERMA,ANIL VERMA,DUMMY DEMO HIGH SCHOOL,502,HEALTH & PHYSICAL EDUCATION,,,---,A1,COMP
99999004,ISHAAN VERMA,SARITA VERMA,ANIL VERMA,DUMMY DEMO HIGH SCHOOL,503,GENERAL STUDIES,,,---,A1,COMP
99999005,KABIR SINGH,GURPREET KAUR,HARBHAJAN SINGH,DUMMY DEMO HIGH SCHOOL,301,ENGLISH CORE,076,020,096,A1,PASS
99999005,KABIR SINGH,GURPREET KAUR,HARBHAJAN SINGH,DUMMY DEMO HIGH SCHOOL,041,MATHEMATICS,075,020,095,A1,PASS
99999005,KABIR SINGH,GURPREET KAUR,HARBHAJAN SINGH,DUMMY DEMO HIGH SCHOOL,042,PHYSICS,070,030,100,A1,PASS
99999005,KABIR SINGH,GURPREET KAUR,HARBHAJAN SINGH,DUMMY DEMO HIGH SCHOOL,043,CHEMISTRY,067,030,097,A1,PASS
99999005,KABIR SINGH,GURPREET KAUR,HARBHAJAN SINGH,DUMMY DEMO HIGH SCHOOL,083,COMPUTER SCIENCE,068,030,098,A1,PASS
99999005,KABIR SINGH,GURPREET KAUR,HARBHAJAN SINGH,DUMMY DEMO HIGH SCHOOL,500,WORK EXPERIENCE,,,---,A1,PASS
99999005,KABIR SINGH,GURPREET KAUR,HARBHAJAN SINGH,DUMMY DEMO HIGH SCHOOL,502,HEALTH & PHYSICAL EDUCATION,,,---,A1,PASS
99999005,KABIR SINGH,GURPREET KAUR,HARBHAJAN SINGH,DUMMY DEMO HIGH SCHOOL,503,GENERAL STUDIES,,,---,A1,PASS
99999006,ANANYA GUPTA,SUNITA GUPTA,RAJEEV GUPTA,DUMMY DEMO HIGH SCHOOL,301,ENGLISH CORE,077,020,097,A1,PASS
99999006,ANANYA GUPTA,SUNITA GUPTA,RAJEEV GUPTA,DUMMY DEMO HIGH SCHOOL,055,ACCOUNTANCY,080,020,100,A1,PASS
99999006,ANANYA GUPTA,SUNITA GUPTA,RAJEEV GUPTA,DUMMY DEMO HIGH SCHOOL,054,BUSINESS STUDIES,078,020,098,A1,PASS
99999006,ANANYA GUPTA,SUNITA GUPTA,RAJEEV GUPTA,DUMMY DEMO HIGH SCHOOL,030,ECONOMICS,076,020,096,A1,PASS
99999006,ANANYA GUPTA,SUNITA GUPTA,RAJEEV GUPTA,DUMMY DEMO HIGH SCHOOL,041,MATHEMATICS,074,020,094,A1,PASS
99999006,ANANYA GUPTA,SUNITA GUPTA,RAJEEV GUPTA,DUMMY DEMO HIGH SCHOOL,500,WORK EXPERIENCE,,,---,A1,PASS
99999006,ANANYA GUPTA,SUNITA GUPTA,RAJEEV GUPTA,DUMMY DEMO HIGH SCHOOL,502,HEALTH & PHYSICAL EDUCATION,,,---,A1,PASS
99999006,ANANYA GUPTA,SUNITA GUPTA,RAJEEV GUPTA,DUMMY DEMO HIGH SCHOOL,503,GENERAL STUDIES,,,---,A1,PASS
99999007,ROHAN MALHOTRA,RITU MALHOTRA,VIJAY MALHOTRA,DUMMY DEMO HIGH SCHOOL,301,ENGLISH CORE,062,020,082,B2,PASS
99999007,ROHAN MALHOTRA,RITU MALHOTRA,VIJAY MALHOTRA,DUMMY DEMO HIGH SCHOOL,055,ACCOUNTANCY,055,020,075,B2,PASS
99999007,ROHAN MALHOTRA,RITU MALHOTRA,VIJAY MALHOTRA,DUMMY DEMO HIGH SCHOOL,054,BUSINESS STUDIES,060,020,080,B1,PASS
99999007,ROHAN MALHOTRA,RITU MALHOTRA,VIJAY MALHOTRA,DUMMY DEMO HIGH SCHOOL,030,ECONOMICS,058,020,078,B2,PASS
99999007,ROHAN MALHOTRA,RITU MALHOTRA,VIJAY MALHOTRA,DUMMY DEMO HIGH SCHOOL,048,PHYSICAL EDUCATION,062,030,092,A2,PASS
99999007,ROHAN MALHOTRA,RITU MALHOTRA,VIJAY MALHOTRA,DUMMY DEMO HIGH SCHOOL,500,WORK EXPERIENCE,,,---,A1,PASS
99999007,ROHAN MALHOTRA,RITU MALHOTRA,VIJAY MALHOTRA,DUMMY DEMO HIGH SCHOOL,502,HEALTH & PHYSICAL EDUCATION,,,---,A1,PASS
99999007,ROHAN MALHOTRA,RITU MALHOTRA,VIJAY MALHOTRA,DUMMY DEMO HIGH SCHOOL,503,GENERAL STUDIES,,,---,A1,PASS
99999008,TANISHA JAIN,ALKA JAIN,SUNIL JAIN,DUMMY DEMO HIGH SCHOOL,301,ENGLISH CORE,070,020,090,A2,PASS
99999008,TANISHA JAIN,ALKA JAIN,SUNIL JAIN,DUMMY DEMO HIGH SCHOOL,055,ACCOUNTANCY,068,020,088,A2,PASS
99999008,TANISHA JAIN,ALKA JAIN,SUNIL JAIN,DUMMY DEMO HIGH SCHOOL,054,BUSINESS STUDIES,072,020,092,A1,PASS
99999008,TANISHA JAIN,ALKA JAIN,SUNIL JAIN,DUMMY DEMO HIGH SCHOOL,030,ECONOMICS,070,020,090,A2,PASS
99999008,TANISHA JAIN,ALKA JAIN,SUNIL JAIN,DUMMY DEMO HIGH SCHOOL,041,MATHEMATICS,052,020,072,B2,PASS
99999008,TANISHA JAIN,ALKA JAIN,SUNIL JAIN,DUMMY DEMO HIGH SCHOOL,500,WORK EXPERIENCE,,,---,A1,PASS
99999008,TANISHA JAIN,ALKA JAIN,SUNIL JAIN,DUMMY DEMO HIGH SCHOOL,502,HEALTH & PHYSICAL EDUCATION,,,---,A1,PASS
99999008,TANISHA JAIN,ALKA JAIN,SUNIL JAIN,DUMMY DEMO HIGH SCHOOL,503,GENERAL STUDIES,,,---,A1,PASS
99999009,VIKRAM MEHTA,RADHIKA MEHTA,SANJAY MEHTA,DUMMY DEMO HIGH SCHOOL,301,ENGLISH CORE,048,020,068,C2,PASS
99999009,VIKRAM MEHTA,RADHIKA MEHTA,SANJAY MEHTA,DUMMY DEMO HIGH SCHOOL,055,ACCOUNTANCY,032,020,052,D1,PASS
99999009,VIKRAM MEHTA,RADHIKA MEHTA,SANJAY MEHTA,DUMMY DEMO HIGH SCHOOL,054,BUSINESS STUDIES,040,020,060,D1,PASS
99999009,VIKRAM MEHTA,RADHIKA MEHTA,SANJAY MEHTA,DUMMY DEMO HIGH SCHOOL,030,ECONOMICS,036,020,056,D2,PASS
99999009,VIKRAM MEHTA,RADHIKA MEHTA,SANJAY MEHTA,DUMMY DEMO HIGH SCHOOL,048,PHYSICAL EDUCATION,045,028,073,C1,PASS
99999009,VIKRAM MEHTA,RADHIKA MEHTA,SANJAY MEHTA,DUMMY DEMO HIGH SCHOOL,500,WORK EXPERIENCE,,,---,A1,PASS
99999009,VIKRAM MEHTA,RADHIKA MEHTA,SANJAY MEHTA,DUMMY DEMO HIGH SCHOOL,502,HEALTH & PHYSICAL EDUCATION,,,---,A1,PASS
99999009,VIKRAM MEHTA,RADHIKA MEHTA,SANJAY MEHTA,DUMMY DEMO HIGH SCHOOL,503,GENERAL STUDIES,,,---,A1,PASS
99999010,ARJUN RAO,SHREYA RAO,MADHAV RAO,DUMMY DEMO HIGH SCHOOL,301,ENGLISH CORE,073,020,093,A1,PASS
99999010,ARJUN RAO,SHREYA RAO,MADHAV RAO,DUMMY DEMO HIGH SCHOOL,055,ACCOUNTANCY,074,020,094,A1,PASS
99999010,ARJUN RAO,SHREYA RAO,MADHAV RAO,DUMMY DEMO HIGH SCHOOL,054,BUSINESS STUDIES,075,020,095,A1,PASS
99999010,ARJUN RAO,SHREYA RAO,MADHAV RAO,DUMMY DEMO HIGH SCHOOL,030,ECONOMICS,073,020,093,A1,PASS
99999010,ARJUN RAO,SHREYA RAO,MADHAV RAO,DUMMY DEMO HIGH SCHOOL,048,PHYSICAL EDUCATION,068,030,098,A1,PASS
99999010,ARJUN RAO,SHREYA RAO,MADHAV RAO,DUMMY DEMO HIGH SCHOOL,500,WORK EXPERIENCE,,,---,A1,PASS
99999010,ARJUN RAO,SHREYA RAO,MADHAV RAO,DUMMY DEMO HIGH SCHOOL,502,HEALTH & PHYSICAL EDUCATION,,,---,A1,PASS
99999010,ARJUN RAO,SHREYA RAO,MADHAV RAO,DUMMY DEMO HIGH SCHOOL,503,GENERAL STUDIES,,,---,A1,PASS
99999011,MEERA SEN,INDRANI SEN,ARUP SEN,DUMMY DEMO HIGH SCHOOL,301,ENGLISH CORE,076,020,096,A1,PASS
99999011,MEERA SEN,INDRANI SEN,ARUP SEN,DUMMY DEMO HIGH SCHOOL,027,HISTORY,080,020,100,A1,PASS
99999011,MEERA SEN,INDRANI SEN,ARUP SEN,DUMMY DEMO HIGH SCHOOL,028,POLITICAL SCIENCE,077,020,097,A1,PASS
99999011,MEERA SEN,INDRANI SEN,ARUP SEN,DUMMY DEMO HIGH SCHOOL,029,GEOGRAPHY,068,030,098,A1,PASS
99999011,MEERA SEN,INDRANI SEN,ARUP SEN,DUMMY DEMO HIGH SCHOOL,030,ECONOMICS,075,020,095,A1,PASS
99999011,MEERA SEN,INDRANI SEN,ARUP SEN,DUMMY DEMO HIGH SCHOOL,500,WORK EXPERIENCE,,,---,A1,PASS
99999011,MEERA SEN,INDRANI SEN,ARUP SEN,DUMMY DEMO HIGH SCHOOL,502,HEALTH & PHYSICAL EDUCATION,,,---,A1,PASS
99999011,MEERA SEN,INDRANI SEN,ARUP SEN,DUMMY DEMO HIGH SCHOOL,503,GENERAL STUDIES,,,---,A1,PASS
99999012,PRIYA DAS,MIRA DAS,DEBASHIS DAS,DUMMY DEMO HIGH SCHOOL,301,ENGLISH CORE,064,020,084,B2,PASS
99999012,PRIYA DAS,MIRA DAS,DEBASHIS DAS,DUMMY DEMO HIGH SCHOOL,027,HISTORY,060,020,080,B1,PASS
99999012,PRIYA DAS,MIRA DAS,DEBASHIS DAS,DUMMY DEMO HIGH SCHOOL,028,POLITICAL SCIENCE,062,020,082,B1,PASS
99999012,PRIYA DAS,MIRA DAS,DEBASHIS DAS,DUMMY DEMO HIGH SCHOOL,029,GEOGRAPHY,052,028,080,B2,PASS
99999012,PRIYA DAS,MIRA DAS,DEBASHIS DAS,DUMMY DEMO HIGH SCHOOL,030,ECONOMICS,056,020,076,B2,PASS
99999012,PRIYA DAS,MIRA DAS,DEBASHIS DAS,DUMMY DEMO HIGH SCHOOL,500,WORK EXPERIENCE,,,---,A1,PASS
99999012,PRIYA DAS,MIRA DAS,DEBASHIS DAS,DUMMY DEMO HIGH SCHOOL,502,HEALTH & PHYSICAL EDUCATION,,,---,A1,PASS
99999012,PRIYA DAS,MIRA DAS,DEBASHIS DAS,DUMMY DEMO HIGH SCHOOL,503,GENERAL STUDIES,,,---,A1,PASS
99999013,KABIR KAPOOR,NEETU KAPOOR,RISHI KAPOOR,DUMMY DEMO HIGH SCHOOL,301,ENGLISH CORE,071,020,091,A2,PASS
99999013,KABIR KAPOOR,NEETU KAPOOR,RISHI KAPOOR,DUMMY DEMO HIGH SCHOOL,027,HISTORY,069,020,089,A2,PASS
99999013,KABIR KAPOOR,NEETU KAPOOR,RISHI KAPOOR,DUMMY DEMO HIGH SCHOOL,028,POLITICAL SCIENCE,070,020,090,A2,PASS
99999013,KABIR KAPOOR,NEETU KAPOOR,RISHI KAPOOR,DUMMY DEMO HIGH SCHOOL,029,GEOGRAPHY,062,029,091,A1,PASS
99999013,KABIR KAPOOR,NEETU KAPOOR,RISHI KAPOOR,DUMMY DEMO HIGH SCHOOL,048,PHYSICAL EDUCATION,065,029,094,A2,PASS
99999013,KABIR KAPOOR,NEETU KAPOOR,RISHI KAPOOR,DUMMY DEMO HIGH SCHOOL,500,WORK EXPERIENCE,,,---,A1,PASS
99999013,KABIR KAPOOR,NEETU KAPOOR,RISHI KAPOOR,DUMMY DEMO HIGH SCHOOL,502,HEALTH & PHYSICAL EDUCATION,,,---,A1,PASS
99999013,KABIR KAPOOR,NEETU KAPOOR,RISHI KAPOOR,DUMMY DEMO HIGH SCHOOL,503,GENERAL STUDIES,,,---,A1,PASS
99999014,SANYA MIRZA,NASIMA MIRZA,IMRAN MIRZA,DUMMY DEMO HIGH SCHOOL,301,ENGLISH CORE,042,020,062,D1,FAIL
99999014,SANYA MIRZA,NASIMA MIRZA,IMRAN MIRZA,DUMMY DEMO HIGH SCHOOL,027,HISTORY,020,020,040,E,FAIL
99999014,SANYA MIRZA,NASIMA MIRZA,IMRAN MIRZA,DUMMY DEMO HIGH SCHOOL,028,POLITICAL SCIENCE,012,020,032    RT,E,FAIL
99999014,SANYA MIRZA,NASIMA MIRZA,IMRAN MIRZA,DUMMY DEMO HIGH SCHOOL,029,GEOGRAPHY,022,027,049,E,FAIL
99999014,SANYA MIRZA,NASIMA MIRZA,IMRAN MIRZA,DUMMY DEMO HIGH SCHOOL,030,ECONOMICS,033,020,053,D1,FAIL
99999014,SANYA MIRZA,NASIMA MIRZA,IMRAN MIRZA,DUMMY DEMO HIGH SCHOOL,500,WORK EXPERIENCE,,,---,A1,FAIL
99999014,SANYA MIRZA,NASIMA MIRZA,IMRAN MIRZA,DUMMY DEMO HIGH SCHOOL,502,HEALTH & PHYSICAL EDUCATION,,,---,A1,FAIL
99999014,SANYA MIRZA,NASIMA MIRZA,IMRAN MIRZA,DUMMY DEMO HIGH SCHOOL,503,GENERAL STUDIES,,,---,A1,FAIL
99999015,AMAN VERMA,POOJA VERMA,RAMESH VERMA,DUMMY DEMO HIGH SCHOOL,301,ENGLISH CORE,074,020,094,A1,PASS
99999015,AMAN VERMA,POOJA VERMA,RAMESH VERMA,DUMMY DEMO HIGH SCHOOL,027,HISTORY,072,020,092,A1,PASS
99999015,AMAN VERMA,POOJA VERMA,RAMESH VERMA,DUMMY DEMO HIGH SCHOOL,028,POLITICAL SCIENCE,075,020,095,A1,PASS
99999015,AMAN VERMA,POOJA VERMA,RAMESH VERMA,DUMMY DEMO HIGH SCHOOL,029,GEOGRAPHY,066,029,095,A1,PASS
99999015,AMAN VERMA,POOJA VERMA,RAMESH VERMA,DUMMY DEMO HIGH SCHOOL,048,PHYSICAL EDUCATION,068,030,098,A1,PASS
99999015,AMAN VERMA,POOJA VERMA,RAMESH VERMA,DUMMY DEMO HIGH SCHOOL,500,WORK EXPERIENCE,,,---,A1,PASS
99999015,AMAN VERMA,POOJA VERMA,RAMESH VERMA,DUMMY DEMO HIGH SCHOOL,502,HEALTH & PHYSICAL EDUCATION,,,---,A1,PASS
99999015,AMAN VERMA,POOJA VERMA,RAMESH VERMA,DUMMY DEMO HIGH SCHOOL,503,GENERAL STUDIES,,,---,A1,PASS
